Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;;15;D (L);Full-back;Yes;D (L);17;13;8;16;15;15;7;9;14;13;;Heading;Team Player;Curaçao;Reasonable;Netherlands;True;Very Strong;169 cm;26;Really Good;Extensive Knowledge;Below Average;13;7;12;12;8;9;1;13;7;12;13;7;England;Sky Bet Championship;16;15;9;12;13;9;;14;10;16;11;15;13;12;15;3;3;1;1;2;2;2;1;2;1;€1.1M;Scouting Required
;Dion Lopy;11;DM;Defensive midfielder;Yes;DM, M (C);11;13;13;13;11;15;15;7;10;15;A-;Unknown;Athleticism;Russia;Very Strong;Senegal;False;Fairly Strong;186 cm;23;Fairly Good;Extensive Knowledge;Above Average;10;12;15;9;10;11;2;14;9;12;14;12;Spain;Second Division;13;13;12;14;13;12;Almería;12;12;12;13;12;11;10;14;1;1;1;2;1;2;2;2;3;3;€11M - €13.5M;A-
;Pape Matar Sarr;14;DM;Midfielder;Yes;DM, M/AM (C);14;15;12;14;13;16;14;8;12;13;A-;Unknown;Team Player;;Very Strong;Senegal;False;Reasonable;184 cm;23;Quite Good;Extensive Knowledge;Average;13;9;13;8;10;10;2;14;9;13;7;7;England;Premier League;14;14;12;14;13;10;Spurs;12;13;16;15;11;15;16;16;2;1;2;2;2;1;3;3;1;2;€41M - €50M;A-
;Luka Sučić;15;M (C);Midfielder;Yes;M/AM (C);13;14;13;12;15;13;12;12;6;15;A-;Marking;Speed;Bosnia & Herzegovina;Fairly Strong;Austria;True;Very Strong;185 cm;23;Fairly Okay;Extensive Knowledge;Average;8;7;13;4;14;11;3;12;11;15;10;8;Spain;First Division;13;13;13;6;14;9;Real San Sebastián;12;12;15;11;8;11;13;13;1;2;3;4;1;1;3;2;1;1;€24M - €28M;A-
;Jean-Baptiste Gorby;13;DM;Defensive midfielder;Yes;DM, M (C);15;13;12;15;14;15;10;8;10;13;A-;Marking;Athleticism;Haiti;Very Strong;Mayotte;True;Fairly Strong;183 cm;23;Very Good;Extensive Knowledge;Very Low;9;12;15;8;13;9;2;12;12;11;11;11;Portugal;Premier League;13;14;9;13;13;8;BRG;13;11;13;7;13;14;15;11;3;1;3;1;3;1;3;2;2;2;€15M - €22M;A-
;Jaden Philogene;16;AM (L);Winger;Yes;M/AM (RL);14;9;10;11;15;12;8;9;6;16;A-;Unknown;Speed;Italy;Very Strong;England;False;Fairly Strong;181 cm;23;Quite Good;Extensive Knowledge;Low;10;8;12;3;16;6;1;13;15;15;13;9;England;R1 - Occitanie - A;15;11;11;11;13;7;Ipswich;10;16;9;7;8;10;13;12;3;3;3;1;3;2;2;1;2;1;€31M - €45M;A-
;Iker Muñoz;12;DM;Defensive midfielder;Yes;DM, M (C);13;12;9;13;12;13;10;9;7;12;A-;Unknown;Team Player;Nigeria;Very Strong;Spain;True;Fairly Strong;179 cm;22;Fair;Extensive Knowledge;Low;14;10;13;6;12;10;1;13;11;9;11;11;Spain;First Division;14;15;13;14;10;12;Atlético Pamplona;13;11;12;13;10;13;14;14;3;2;1;1;2;1;1;1;1;4;€12M;A-
;Sacha Boey;15;D (R);Full-back;Yes;D/WB (R);14;16;12;8;14;16;14;7;13;12;A-;Unknown;Team Player;Cameroon;Very Strong;France;True;Reasonable;178 cm;25;Quite Good;Extensive Knowledge;Very Low;15;10;12;13;8;8;2;12;7;13;11;8;Türkiye;Super League;17;13;11;13;12;8;Galatasaray;11;12;15;12;16;11;13;16;1;2;3;4;2;2;2;2;1;3;€4.5M - €8.2M;A-
;Tyrell Malacia;15;D (L);Full-back;Yes;D (L);17;13;8;16;15;15;7;9;14;13;A-;Heading;Team Player;Curaçao;Reasonable;Netherlands;True;Very Strong;169 cm;26;Really Good;Extensive Knowledge;Below Average;13;7;12;12;8;9;1;13;7;12;13;7;England;Sky Bet Championship;16;15;9;12;13;9;Middlesbrough;14;10;16;11;15;13;12;15;3;3;1;1;2;2;2;1;2;1;€1.1M;A-
Wnt;Abel Bretones;14;D (L);Full-back;Yes;D/WB/M (L);12;13;13;11;17;14;14;12;12;12;A-;Unknown;Speed;Ireland;Weak;Spain;True;Very Strong;188 cm;25;Slightly Poor;Extensive Knowledge;Above Average;14;7;12;10;12;10;2;12;11;13;14;9;Spain;First Division;13;14;13;12;14;8;Atlético Pamplona;12;9;14;13;10;12;12;12;1;3;3;1;1;2;1;3;1;2;€20M;A-
;Martín Ojeda;14;AM (C);Winger;Yes;M (L), AM (RLC), ST (C);13;12;11;11;13;14;12;14;6;15;B+;Unknown;Unknown;;Weak;;False;Very Strong;176 cm;26;Perfect;None;Very Low;8;14;15;11;14;8;3;14;13;14;13;12;;Second League;12;13;14;7;12;7;;12;15;13;12;12;13;13;7;1;2;1;3;2;1;2;3;1;1;€9.4M - €11M;B+
;Josh Griffiths;12-14;GK;Goalkeeper;Yes;GK;10;11;14-16;10-12;10-12;12-14;9-11;7-10;2-4;13-15;B+;Unknown;Unknown;Pays Basque;Very Strong;England;False;Weak;195 cm;24;Scouting Required;Marginal Knowledge;Low;1-2;3-6;13-15;2-4;2-4;1-2;12;7-9;1-3;1-2;1-3;3-5;England;National 3 - Group E;10-12;9-11;7-9;12;8-11;8;;10;6-8;10-12;11;5-7;15;11;12;8;13;16;13;8;14;14;14;7;13;€2.3M - €5M;B+
;Ibane Bowat;11;D (C);Centre-back;Yes;D (C);10;14;15;14;13;13;15;6;11;9;B+;Unknown;Heading;England;Reasonable;England;True;Very Strong;190 cm;23;Fairly Okay;Reasonable Knowledge;Below Average;12;5;11;10;9;14;2;11;3;6;5;3;England;Second Division;12;13;9;13;3;7;;9;4;16;10;7;12;11;12;2;2;2;1;1;2;2;1;2;3;€375K - €8.6M;B+
;João Gomes;13;DM;Defensive midfielder;Yes;DM, M (C);14;12;11;15;13;13;14;7;14;13;B+;Unknown;Team Player;Ireland;Very Strong;Brazil;False;Weak;176 cm;24;Good;Extensive Knowledge;Average;16;10;14;11;12;10;3;14;11;14;10;10;England;Premier League;16;16;12;15;14;10;;13;15;16;13;16;14;13;16;1;2;1;3;2;3;2;1;2;3;€34M - €42M;B+
;Martín Ojeda;14;AM (C);Winger;Yes;M (L), AM (RLC), ST (C);13;12;11;11;13;14;12;14;6;15;B+;Unknown;Unknown;U.S.A.;Weak;Argentina;False;Very Strong;176 cm;26;Perfect;None;Very Low;8;14;15;11;14;8;3;14;13;14;13;12;U.S.A.;Second League;12;13;14;7;12;7;Orlando City;12;15;13;12;12;13;13;7;1;2;1;3;2;1;2;3;1;1;€9.4M - €11M;B+
;Josh Griffiths;12-14;GK;Goalkeeper;Yes;GK;10;11;14-16;10-12;10-12;12-14;9-11;7-10;2-4;13-15;B+;Unknown;Unknown;Pays Basque;Very Strong;England;False;Weak;195 cm;24;Scouting Required;Marginal Knowledge;Low;1-2;3-6;13-15;2-4;2-4;1-2;12;7-9;1-3;1-2;1-3;3-5;England;National 3 - Group E;10-12;9-11;7-9;12;8-11;8;West Brom;10;6-8;10-12;11;5-7;15;11;12;8;13;16;13;8;14;14;14;7;13;€2.3M - €5M;B+
;Ibane Bowat;11;D (C);Centre-back;Yes;D (C);10;14;15;14;13;13;15;6;11;9;B+;Unknown;Heading;England;Reasonable;England;True;Very Strong;190 cm;23;Fairly Okay;Reasonable Knowledge;Below Average;12;5;11;10;9;14;2;11;3;6;5;3;England;Second Division;12;13;9;13;3;7;Portsmouth;9;4;16;10;7;12;11;12;2;2;2;1;1;2;2;1;2;3;€375K - €8.6M;B+
;João Gomes;13;DM;Defensive midfielder;Yes;DM, M (C);14;12;11;15;13;13;14;7;14;13;B+;Unknown;Team Player;Ireland;Very Strong;Brazil;False;Weak;176 cm;24;Good;Extensive Knowledge;Average;16;10;14;11;12;10;3;14;11;14;10;10;England;Premier League;16;16;12;15;14;10;Wolves;13;15;16;13;16;14;13;16;1;2;1;3;2;3;2;1;2;3;€34M - €42M;B+
;Reiss Nelson;16;AM (R);Winger;Yes;M/AM (RL);16;13;7;14;15;13;9;12;5;15;B+;Unknown;Speed;Jamaica;Very Strong;England;False;Fairly Strong;175 cm;25;Good;Extensive Knowledge;Very High;6;10;13;8;13;7;1;14;11;15;12;12;England;Premier League;12;11;13;5;13;5;Brentford;12;16;11;11;12;13;12;11;1;1;4;1;1;1;2;1;3;2;€13.5M - €16.5M;B+
;Sergio Arribas;15;AM (C);Attacking midfielder;Yes;M (RC), AM (RLC);13;12;7;10;14;12;11;16;7;15;B+;Unknown;Speed;Ghana;Fairly Strong;Spain;True;Very Strong;173 cm;23;Really Good;Extensive Knowledge;Below Average;5;13;13;4;13;6;3;14;14;13;14;15;Spain;Lower Saxony;12;14;14;11;12;7;Almería;13;16;11;11;9;10;11;9;2;2;2;2;3;1;3;1;1;2;€25M - €29M;B+
;Cameron Carter-Vickers;11-15;D (C);Powerful centre-back;Yes;D (C);9-13;10-14;8-12;14-18;10-14;10-16;15-20;3-7;11-15;8-14;B;Unknown;Marking;England;Very Strong;England;False;Weak;183 cm;27;Scouting Required;Minimal Knowledge;Very Low;14-18;5-9;13-17;8-14;2-8;14-18;1-6;10-16;2-6;7-11;6-10;1-3;Scotland;;10-16;10-14;7-11;13-17;7-11;14-18;Celtic;9-15;1-4;14-20;11-15;14-18;11-17;10-14;14-18;1-7;1-5;1-3;1-3;1-3;1-3;1-3;2-6;1;3-7;€15M - €19M;B
Wnt;Tomáš Holeš;12-16;D (C);Centre-back;Yes;D (C);9-13;15-19;7-11;15-19;11-15;11-17;12-18;-;11-15;7-13;B;Unknown;Marking;Russia;Very Strong;Czechia;True;Reasonable;180 cm;32;Scouting Required;Minimal Knowledge;Very Low;13-17;-;13-17;-;8-14;12-16;-;10-16;-;9-13;-;-;Czechia;Saudi Premier Division;11-17;12-16;8-12;10-14;12-16;13-17;Slavia;9-15;-;14-20;14-18;14-18;13-19;10-14;13-17;-;-;-;-;-;-;-;-;-;-;€300K - €3.1M;B
;Cameron Carter-Vickers;11-15;D (C);Powerful centre-back;Yes;D (C);9-13;10-14;8-12;14-18;10-14;10-16;15-20;3-7;11-15;8-14;B;Unknown;Marking;England;Very Strong;England;False;Weak;183 cm;27;Scouting Required;Minimal Knowledge;Very Low;14-18;5-9;13-17;8-14;2-8;14-18;1-6;10-16;2-6;7-11;6-10;1-3;Scotland;William Hill Premiership;10-16;10-14;7-11;13-17;7-11;14-18;Celtic;9-15;1-4;14-20;11-15;14-18;11-17;10-14;14-18;1-7;1-5;1-3;1-3;1-3;1-3;1-3;2-6;1;3-7;€15M - €19M;B
Wnt;Tomáš Holeš;12-16;D (C);Centre-back;Yes;D (C);9-13;15-19;7-11;15-19;11-15;11-17;12-18;-;11-15;7-13;B;Unknown;Marking;Russia;Very Strong;Czechia;True;Reasonable;180 cm;32;Scouting Required;Minimal Knowledge;Very Low;13-17;-;13-17;-;8-14;12-16;-;10-16;-;9-13;-;-;Czechia;First Division;11-17;12-16;8-12;10-14;12-16;13-17;Slavia;9-15;-;14-20;14-18;14-18;13-19;10-14;13-17;-;-;-;-;-;-;-;-;-;-;€300K - €3.1M;B
Wnt;Ismael Saibari;12-16;AM (L);Attacking midfielder;Yes;M (C), AM (RLC), ST (C);13-17;10-14;13-17;8-12;10-16;11-17;8-12;10-14;5-9;13-19;B;Unknown;Skill;;Very Strong;Spain;True;Fairly Strong;185 cm;24;Scouting Required;Minimal Knowledge;High;2-8;10-14;11-15;3-7;10-16;9-15;1;11-15;11-15;12-16;10-14;8-12;Netherlands;;10-16;10-16;11-17;3-7;10-14;7-11;;11-17;17-20;11-15;13-17;10-14;9-13;10-14;11-15;1;1-6;1-3;1-5;1-6;1-5;1-7;1-5;2-6;1-4;€39M - €49M;B
Loa;Rubin Colwill;11;AM (L);Midfielder;Yes;M (C), AM (LC);15;15;10;11;12;11;12;12;8;14;B;Unknown;Skill;Nigeria;Very Strong;;False;Reasonable;189 cm;23;Really Good;Extensive Knowledge;Above Average;9;11;12;7;12;11;1;14;12;14;12;12;England;;12;12;13;11;9;8;;9;15;8;12;8;11;13;10;3;3;3;1;4;2;2;2;3;2;€6.4M - €9.4M;B
;Ricardo Horta;13-17;AM (C);Attacking midfielder;Yes;AM (RLC), ST (C);14-18;14-18;7-11;12-16;10-16;11-17;2-6;12-16;5-9;14-20;B;Unknown;Speed;Guinea;Very Strong;Portugal;True;Fairly Strong;173 cm;31;Scouting Required;Minimal Knowledge;Very Low;5-11;12-16;12-16;2-6;12-18;3-9;1-3;10-14;13-17;11-15;10-14;12-16;Portugal;Premier League;9-15;10-16;9-15;6-10;15-19;12-16;BRG;11-17;15-19;9-13;11-15;6-10;8-12;9-13;6-10;1;1-6;1-3;1-3;1-6;1-5;1-7;1-4;1-5;1-5;€30M;B
;Lukáš Provod;12-18;AM (L);Winger;Yes;AM (LC);8-12;14-18;10-16;8-14;13-17;13-17;14-18;11-15;-;10-14;B;Unknown;Speed;England;Reasonable;Czechia;True;Very Strong;191 cm;28;Scouting Required;Minimal Knowledge;Very Low;-;10-14;12-18;-;13-17;-;-;11-15;12-16;9-13;11-17;7-13;Czechia;First Division;13-17;8-12;11-15;-;8-12;9-15;Slavia;12-16;9-15;11-15;10-16;-;9-13;-;14-18;-;-;-;-;-;-;-;-;-;-;€11.5M - €13.5M;B
Wnt;Joakim Mæhle;14;WB (R);Attacking full-back;Yes;D/WB (RL);13;12;12;12;14;16;12;8;11;12;B-;Unknown;Team Player;Mali;Very Strong;;True;Reasonable;186 cm;28;Really Good;Extensive Knowledge;Above Average;12;10;12;13;12;11;3;12;9;13;12;10;;Saudi Premier Division;16;15;12;11;14;10;;11;12;15;11;15;11;13;12;3;1;2;1;3;1;3;3;2;2;€9.6M - €14M;B-
Wnt;Ismael Saibari;12-16;AM (L);Attacking midfielder;Yes;M (C), AM (RLC), ST (C);13-17;10-14;13-17;8-12;10-16;11-17;8-12;10-14;5-9;13-19;B;Unknown;Skill;Belgium;Very Strong;Spain;True;Fairly Strong;185 cm;24;Scouting Required;Minimal Knowledge;High;2-8;10-14;11-15;3-7;10-16;9-15;1;11-15;11-15;12-16;10-14;8-12;Netherlands;Eredivisie;10-16;10-16;11-17;3-7;10-14;7-11;PSV;11-17;17-20;11-15;13-17;10-14;9-13;10-14;11-15;1;1-6;1-3;1-5;1-6;1-5;1-7;1-5;2-6;1-4;€39M - €49M;B
Loa;Rubin Colwill;11;AM (L);Midfielder;Yes;M (C), AM (LC);15;15;10;11;12;11;12;12;8;14;B;Unknown;Skill;Nigeria;Very Strong;Wales;False;Reasonable;189 cm;23;Really Good;Extensive Knowledge;Above Average;9;11;12;7;12;11;1;14;12;14;12;12;England;Sky Bet League One;12;12;13;11;9;8;Cardiff;9;15;8;12;8;11;13;10;3;3;3;1;4;2;2;2;3;2;€6.4M - €9.4M;B
Wnt;Ricardo Horta;13-17;AM (C);Attacking midfielder;Yes;AM (RLC), ST (C);14-18;14-18;7-11;12-16;10-16;11-17;2-6;12-16;5-9;14-20;B;Unknown;Speed;Guinea;Very Strong;Portugal;True;Fairly Strong;173 cm;31;Scouting Required;Minimal Knowledge;Very Low;5-11;12-16;12-16;2-6;12-18;3-9;1-3;10-14;13-17;11-15;10-14;12-16;Portugal;Premier League;9-15;10-16;9-15;6-10;15-19;12-16;BRG;11-17;15-19;9-13;11-15;6-10;8-12;9-13;6-10;1;1-6;1-3;1-3;1-6;1-5;1-7;1-4;1-5;1-5;€30M;B
Wnt;Joakim Mæhle;14;WB (R);Attacking full-back;Yes;D/WB (RL);13;12;12;12;14;16;12;8;11;12;B-;Unknown;Team Player;Mali;Very Strong;Denmark;True;Reasonable;186 cm;28;Really Good;Extensive Knowledge;Above Average;12;10;12;13;12;11;3;12;9;13;12;10;Germany;Saudi Premier Division;16;15;12;11;14;10;VfL Wolfsburg;11;12;15;11;15;11;13;12;3;1;2;1;3;1;3;3;2;2;€9.6M - €14M;B-
;Harry Maguire;10;D (C);Experienced centre-back;Yes;D (C);7-9;11-14;17;16-18;12;17;17;6-9;15;13;B-;Unknown;Unknown;Mali;Very Strong;England;False;Fairly Strong;194 cm;32;Really Good;None;Below Average;15;13-15;13;10-12;5-7;17;3-5;14;6-9;9-11;6-8;4-6;England;Premier League;12;14;11-14;16;6-8;15;Man Utd;12;8-10;11;14;14;13;14;15-18;1-3;1-3;1-4;1-4;1;1-2;1;2-4;2-4;1-3;€8.8M - €13.5M;B-
Inj;Leon Bailey;16;AM (R);Winger;Yes;M (RL), AM (RLC);16;10;11;12;16;13;9;10;4;13;B-;Unknown;Speed;Scotland;Weak;Jamaica;False;Very Strong;178 cm;28;Exceptional;Extensive Knowledge;High;7;12;13;9;14;7;3;13;14;14;14;13;England;Premier League;10;11;13;8;13;8;Aston Villa;9;17;15;10;13;10;16;12;2;2;2;2;4;1;3;2;1;2;€16M;B-
;Rafael Elias;12;ST (C);Striker;Yes;ST (C);10;14;11;14;13;14;14;11;8;12;B-;Unknown;Unknown;England;Fairly Strong;Brazil;False;Very Strong;182 cm;26;Quite Good;None;Very Low;8;13;10;7;10;12;3;13;16;12;9;6;Japan;;13;13;13;8;14;12;Kyoto;14;13;14;13;12;14;15;16;2;1;3;2;1;3;4;3;3;3;€2M - €4M;B-
Ask;Andrea Colpani;13;AM (C);Winger;Yes;M/AM (RC);14;13;12;12;13;13;12;13;10;15;B-;Unknown;Technique;Spain;Reasonable;Italy;True;Very Strong;184 cm;26;Extremely Poor;Extensive Knowledge;Average;10;9;13;5;15;13;3;12;12;13;12;13;Italy;;14;14;15;10;14;9;AC Monza;13;15;14;13;10;13;14;11;1;1;3;2;1;1;4;4;2;3;€6M;B-
;Rafael Elias;12;ST (C);Striker;Yes;ST (C);10;14;11;14;13;14;14;11;8;12;B-;Unknown;Unknown;England;Fairly Strong;Brazil;False;Very Strong;182 cm;26;Quite Good;None;Very Low;8;13;10;7;10;12;3;13;16;12;9;6;Japan;J1 League;13;13;13;8;14;12;Kyoto;14;13;14;13;12;14;15;16;2;1;3;2;1;3;4;3;3;3;€2M - €4M;B-
Ask;Andrea Colpani;13;AM (C);Winger;Yes;M/AM (RC);14;13;12;12;13;13;12;13;10;15;B-;Unknown;Technique;Spain;Reasonable;Italy;True;Very Strong;184 cm;26;Extremely Poor;Extensive Knowledge;Average;10;9;13;5;15;13;3;12;12;13;12;13;Italy;Serie BKT;14;14;15;10;14;9;AC Monza;13;15;14;13;10;13;14;11;1;1;3;2;1;1;4;4;2;3;€6M;B-
;Ethan Laird;15;WB (R);Full-back;Yes;D/WB (R);14;13;14;15;15;11;11;4;11;13;B-;Unknown;Speed;Russia;Very Strong;England;False;Reasonable;177 cm;24;Good;Extensive Knowledge;Very High;11;5;12;8;6;11;3;13;8;14;11;5;England;Sky Bet Championship;12;12;10;12;13;9;;11;12;12;10;12;12;12;11;4;2;3;1;1;3;3;2;1;3;€5.8M - €8.6M;B-
;Nathan Patterson;15;D (R);Full-back;Yes;D/WB (R);13;11;11;14;15;17;12;6;10;11;B-;Heading;Speed;Haiti;Very Strong;Scotland;False;Reasonable;183 cm;23;Okay;Extensive Knowledge;High;13;5;11;10;11;8;2;11;8;9;14;12;England;Premier League;14;13;11;11;13;4;;7;7;14;12;12;12;11;12;2;3;3;3;3;3;3;1;2;2;€22M - €26M;B-
;Chris Wood;11;ST (C);Powerful striker;Yes;ST (C);11;16;16;12;11;15;15;10;7;13;B-;Unknown;Team Player;England;Very Strong;;False;Fairly Strong;191 cm;33;Really Good;Extensive Knowledge;Very High;9;15;13;3;11;15;1;13;13;11;9;3;England;Premier League;15;16;11;11;13;14;;14;10;15;13;14;13;14;16;1;2;3;2;2;4;2;2;2;3;€8.6M - €10.5M;B-
;Darlin Yongwa;15;D (L);Full-back;Yes;D (LC), WB (L);13;12;10;14;15;13;12;9;9;13;B-;Unknown;Unknown;France;Reasonable;Cameroon;True;Very Strong;180 cm;25;Fairly Good;None;Average;12;8;12;10;5;8;2;12;8;13;12;7;France;;15;13;11;11;13;6;;10;8;11;10;12;12;10;13;3;1;3;2;3;3;2;2;3;3;€1.2M - €2.6M;B-
;Jacob Murphy;15;AM (R);Winger;Yes;M (R), AM (RL);14;13;7;13;16;11;11;13;10;13;B-;Unknown;Unknown;England;Very Strong;England;False;Reasonable;179 cm;30;Extremely Good;Extensive Knowledge;Very Low;10;5;12;5;12;4;2;14;11;15;15;12;England;Second Division;18;13;12;10;13;9;;12;13;15;11;9;12;13;10;1;1;2;3;1;1;3;2;2;3;€16.5M - €24M;B-
;Ethan Laird;15;WB (R);Full-back;Yes;D/WB (R);14;13;14;15;15;11;11;4;11;13;B-;Unknown;Speed;Russia;Very Strong;England;False;Reasonable;177 cm;24;Good;Extensive Knowledge;Very High;11;5;12;8;6;11;3;13;8;14;11;5;England;Sky Bet Championship;12;12;10;12;13;9;Birmingham;11;12;12;10;12;12;12;11;4;2;3;1;1;3;3;2;1;3;€5.8M - €8.6M;B-
;Nathan Patterson;15;D (R);Full-back;Yes;D/WB (R);13;11;11;14;15;17;12;6;10;11;B-;Heading;Speed;Haiti;Very Strong;Scotland;False;Reasonable;183 cm;23;Okay;Extensive Knowledge;High;13;5;11;10;11;8;2;11;8;9;14;12;England;Premier League;14;13;11;11;13;4;Everton;7;7;14;12;12;12;11;12;2;3;3;3;3;3;3;1;2;2;€22M - €26M;B-
;Chris Wood;11;ST (C);Powerful striker;Yes;ST (C);11;16;16;12;11;15;15;10;7;13;B-;Unknown;Team Player;England;Very Strong;New Zealand;False;Fairly Strong;191 cm;33;Really Good;Extensive Knowledge;Very High;9;15;13;3;11;15;1;13;13;11;9;3;England;Premier League;15;16;11;11;13;14;Nott'm Forest;14;10;15;13;14;13;14;16;1;2;3;2;2;4;2;2;2;3;€8.6M - €10.5M;B-
;Darlin Yongwa;15;D (L);Full-back;Yes;D (LC), WB (L);13;12;10;14;15;13;12;9;9;13;B-;Unknown;Unknown;France;Reasonable;Cameroon;True;Very Strong;180 cm;25;Fairly Good;None;Average;12;8;12;10;5;8;2;12;8;13;12;7;France;Ligue 1 McDonald's;15;13;11;11;13;6;FC Lorient;10;8;11;10;12;12;10;13;3;1;3;2;3;3;2;2;3;3;€1.2M - €2.6M;B-
;Jacob Murphy;15;AM (R);Winger;Yes;M (R), AM (RL);14;13;7;13;16;11;11;13;10;13;B-;Unknown;Unknown;England;Very Strong;England;False;Reasonable;179 cm;30;Extremely Good;Extensive Knowledge;Very Low;10;5;12;5;12;4;2;14;11;15;15;12;England;Second Division;18;13;12;10;13;9;Newcastle;12;13;15;11;9;12;13;10;1;1;2;3;1;1;3;2;2;3;€16.5M - €24M;B-
;Keane Lewis-Potter;14;AM (L);Winger;Yes;D/WB (L), AM (RL);14;11;10;14;14;14;11;10;7;13;B-;Unknown;Speed;Italy;Very Strong;England;False;Reasonable;170 cm;24;Really Good;Extensive Knowledge;Below Average;13;12;13;9;12;10;1;13;12;14;14;9;England;R1 - Occitanie - A;15;13;13;10;13;9;Brentford;14;13;17;13;12;14;13;13;1;2;1;1;2;3;3;1;1;2;€52M - €76M;B-
;Samuel Edozie;15;AM (L);Winger;Yes;M/AM (L);14;14;11;14;15;14;10;7;7;14;B-;Intelligence;Speed;Nigeria;Very Strong;England;False;Reasonable;181 cm;22;Quite Good;Extensive Knowledge;Above Average;10;7;12;4;8;6;2;12;11;14;10;7;England;Sky Bet Championship;13;12;11;9;13;6;Southampton;11;16;14;10;9;10;8;12;2;2;3;1;2;2;3;2;2;3;€11M - €16M;B-
Una;Ross Barkley;12;M (C);Cultured defensive midfielder;Yes;DM, M/AM (C);10;14;12;12;12;12;15;14;6;16;B-;Marking;Skill;Nigeria;Very Strong;England;False;Fairly Strong;189 cm;31;Very Good;Extensive Knowledge;High;8;12;16;9;15;12;3;16;12;16;11;13;England;Premier League;14;13;15;12;12;13;Aston Villa;12;15;12;12;9;12;14;11;2;1;3;1;1;2;3;1;3;1;€15.5M - €23M;B-
;Cyril Ngonge;16;AM (R);Winger;Yes;AM (RC), ST (C);14;12;10;8;14;13;12;7;5;14;B-;Intelligence;Speed;DR Congo;Reasonable;Belgium;True;Very Strong;179 cm;25;Very Good;Extensive Knowledge;Below Average;5;12;11;7;13;14;3;13;14;15;13;13;Spain;First Division;11;12;11;5;14;10;Espanyol;10;14;8;11;13;12;13;13;3;4;3;2;2;2;2;3;1;3;€3.9M - €5.8M;B-
Wnt;Melvin Bard;12-16;WB (L);Attacking full-back;Yes;D (LC), WB (L);11-15;11-15;11-15;14-18;10-16;13-19;9-13;5-9;14-18;11-17;B-;Unknown;Team Player;Ireland;Weak;France;True;Very Strong;173 cm;24;Scouting Required;Minimal Knowledge;Below Average;11-17;3-7;12-16;6-10;8-14;8-14;1-3;9-13;10-14;11-15;13-17;7-11;France;Ligue 1 McDonald's;13-19;11-17;10-16;12-16;11-15;11-15;;10-16;14-18;11-15;13-17;11-15;8-12;12-16;15-19;1;1-4;1-4;1-3;1-6;3-7;1-5;2-6;3-7;1-5;€22M - €27M;B-
;Léo Ortiz;10-14;D (C);Centre-back;Yes;D (C), DM;10-14;11-15;14-18;12-16;8-14;12-18;9-13;11-15;15-19;11-17;B-;Unknown;Team Player;Ireland;Very Strong;Brazil;False;Reasonable;185 cm;29;Scouting Required;Minimal Knowledge;Very Low;10-16;12-16;13-17;6-10;7-13;10-16;1;9-13;7-11;8-12;8-12;9-13;Brazil;;13-19;11-17;10-16;13-17;9-13;13-17;;11-17;12-16;10-14;12-16;10-14;8-12;11-15;11-15;1;1-4;1-5;1-5;1-6;3-7;1-5;1-5;1-5;1-4;€23M - €27M;B-
;Anouar Ait El Hadj;11;AM (C);Midfielder;Yes;M (C), AM (LC);12;11;7;10;14;14;10;12;9;14;B-;Unknown;Technique;Belgium;Very Strong;Belgium;True;Reasonable;167 cm;23;Okay;Extensive Knowledge;Very Low;9;13;14;6;13;9;2;15;11;12;13;13;Belgium;Second Division;11;12;12;11;13;7;;13;15;10;11;10;11;12;13;3;1;1;2;3;1;1;2;1;4;€325K - €3.3M;B-
;Toni Martínez;13;ST (C);Nomadic striker;Yes;ST (C);13;15;14;16;13;13;13;9;6;12;B-;Unknown;Heading;Pays Basque;Very Strong;Spain;True;Fairly Strong;187 cm;28;Quite Good;Extensive Knowledge;Low;7;10;11;8;12;16;1;13;15;11;9;7;Spain;National 3 - Group E;15;14;12;7;14;10;;11;13;16;10;16;13;14;16;3;3;3;1;3;2;2;3;3;2;€20M - €25M;B-
;Joseph Aidoo;13;D (C);Centre-back;Yes;D (C);13;15;13;18;14;14;17;8;14;11;B-;Unknown;Athleticism;U.S.A.;Very Strong;;False;Weak;184 cm;29;Quite Good;Extensive Knowledge;Average;15;6;10;9;7;14;3;11;4;8;7;7;Spain;Second League;14;12;9;13;8;11;;12;7;14;12;15;11;12;17;2;1;2;1;1;3;1;2;3;3;€6.8M - €9.8M;B-
